Nº OCORRÊNCIA;DATA DO FATO;HORA DO FATO;TIPO OBJETO;ACAO OBJETO;GRUPO DE INCIDENTE;TIPO DE INCIDENTE;UF;MUNICIPIO;BAIRRO;LOGRADOURO;TIPO DE LOCAL;TIPO;MARCA;MODELO;COR VEICULO
53325508;01/01/2024;01:04:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;ITAPEMIRIM;ITAIPAVA;AVENIDA ITAPEMIRIM;VIA PUBLICA;AUTOMOVEL;VOLKSWAGEN;PARATI CL 1.6 MI;BRANCO
53325948;01/01/2024;01:49:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;IBATIBA;ALTO CRICIUMA;ZONA RURAL;RESIDENCIA;Sem Informacao (Tipo);MOTOROLA;MOTO G30;Sem Informacao (Cor)
53326103;01/01/2024;02:07:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;BREJETUBA;BAIRRO NOBRE;RUA SEBASTIAO FERREIRA BRUM;VIA PUBLICA;MOTOCICLETA;HONDA;CG 125 FAN KS;PRETO
53327441;01/01/2024;00:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;GUARAPARI;PRAIA DO MORRO;BEIRA MAR;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;Sem Informacao (Modelo);Sem Informacao (Cor)
53327910;01/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;VITORIA;MORADA DE CAMBURI;AV PRESIDENTE COSTA E SILVA;VEICULO;AUTOMOVEL;VOLKSWAGEN;GOL 1.0 GIV;PRATA
53328096;01/01/2024;00:30:00;APARELHOS TELEFONICOS;FURTADO;OCORRENCIAS DIVERSAS/ASSISTENCIAIS;OCORRENCIAS DIVERSAS/ASSISTENCIAIS: OPERACOES POLICIAIS: DA POLICIA CIVIL;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;G60;Sem Informacao (Cor)
53328251;01/01/2024;02:10:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;GUARAPARI;PRAIA DO MORRO;AV BEIRA MAR;OUTRO LOCAL;Sem Informacao (Tipo);APPLE;HIPHONE XR;Sem Informacao (Cor)
53328313;01/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;AGUIA BRANCA;APARECIDA;RUA FRANSCISCO ALVES COUTO;VIA PUBLICA;MOTOCICLETA;HONDA;CG 125 TITAN ES;AZUL
53328506;01/01/2024;00:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;GUARAPARI;PRAIA DO MORRO;AV. BEIRA MAR;VIA PUBLICA;Sem Informacao (Tipo);OUTROS;REDMI NOTE 12;Sem Informacao (Cor)
53328663;01/01/2024;02:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI;Sem Informacao (Cor)
53328710;01/01/2024;00:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;RUA PERNAMBUCO;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;G30;Sem Informacao (Cor)
53329028;01/01/2024;11:25:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM ESTABELECIMENTO COMERCIAL;ES;NOVA VENECIA;BEIRA RIO;AV SAO MATEUS;COMERCIO;Sem Informacao (Tipo);OUTROS;Sem Informacao (Modelo);Sem Informacao (Cor)
53329300;01/01/2024;00:40:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;ITAPOA;AV ANTONIO GIL VELOSO;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 12 PRO MAX;Sem Informacao (Cor)
53329310;01/01/2024;10:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;VITORIA;DE LOURDES;RUA PEDRO BOTTI;VEICULO;Sem Informacao (Tipo);MOTOROLA;MOTO G14;Sem Informacao (Cor)
53329310;01/01/2024;10:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;VITORIA;DE LOURDES;RUA PEDRO BOTTI;VEICULO;Sem Informacao (Tipo);MOTOROLA;G82;Sem Informacao (Cor)
53329899;01/01/2024;14:01:00;BICICLETA;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM ESTABELECIMENTO COMERCIAL;ES;MARECHAL FLORIANO;CENTRO;RUA GUSTAVO HERTEL;COMERCIO;Sem Informacao (Tipo);TOTEM;MODERNO;Sem Informacao (Cor)
53330366;01/01/2024;05:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;PRAIA DA COSTA;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTO E 22;Sem Informacao (Cor)
53330808;01/01/2024;Indeterminada;BICICLETA;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;GUARAPARI;BALNEARIO MEAIPE;AV MEAIPE;RESIDENCIA;Sem Informacao (Tipo);AUDAX;AUGE 40 DI2;Sem Informacao (Cor)
53331005;01/01/2024;07:00:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;COLATINA;SANTOS DUMONT;RUA ONIX;RESIDENCIA;MOTOCICLETA;HONDA;CG150 SPECIAL EDIT;LARANJA
53331134;01/01/2024;15:00:00;VEICULO;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;MONTANHA;VINHATICO;RUA PRESIDENTE KENEDY;VIA PUBLICA;AUTOMOVEL;VOLKSWAGEN;POLO 1.6 SPORTLINE;BRANCO
53331148;01/01/2024;06:00:00;VEICULO;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;CARIACICA;NOVO BRASIL;RUA NAO CADASTRADA;VIA PUBLICA;MOTOCICLETA;HONDA;CG 125 FAN KS;VERMELHO
53331379;01/01/2024;05:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VITORIA;JARDIM CAMBURI;AV DANTE MICHELINE;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE XE;Sem Informacao (Cor)
53331627;01/01/2024;02:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;GUARAPARI;PRAIA DO MORRO;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;M23;Sem Informacao (Cor)
53331643;01/01/2024;17:20:00;VEICULO;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VIANA;SOTECO;RUA NAO CADASTRADA;VIA PUBLICA;AUTOMOVEL;HONDA;CIVIC LX;VERDE
53332030;01/01/2024;00:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;VITORIA;GOIABEIRAS;DANTE MICHELINI;OUTRO LOCAL;Sem Informacao (Tipo);MOTOROLA;G31;Sem Informacao (Cor)
53332410;01/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;SERRA;VALPARAISO;RUA SANTA CRUZ;VEICULO;MOTOCICLETA;SUZUKI;GSR125;PRATA
53332766;01/01/2024;17:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;VIANA;SOTECO;Sem Informacao;VEICULO;Sem Informacao (Tipo);XIAOMI;REDMI NOTE 12;Sem Informacao (Cor)
53332766;01/01/2024;17:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;VIANA;SOTECO;Sem Informacao;VEICULO;Sem Informacao (Tipo);XIAOMI;REDMINOTE 12S;Sem Informacao (Cor)
53332766;01/01/2024;17:20:00;VEICULO;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;VIANA;SOTECO;Sem Informacao;VEICULO;AUTOMOVEL;HONDA;CIVIC LX;VERDE
53334817;01/01/2024;00:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM ESTABELECIMENTO COMERCIAL;ES;GUACUI;SAO MIGUEL;Sem Informacao;COMERCIO;Sem Informacao (Tipo);SAMSUNG;Sem Informacao (Modelo);Sem Informacao (Cor)
53334931;01/01/2024;00:20:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VITORIA;JARDIM DA PENHA;PRAIA DE CAMBURI;OUTRO LOCAL;Sem Informacao (Tipo);APPLE;IPHONE 13;Sem Informacao (Cor)
53334953;01/01/2024;05:10:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;CARIACICA;SANTO ANDRE;RUA DOS LIRIOS;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;Sem Informacao (Modelo);Sem Informacao (Cor)
53335093;01/01/2024;14:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM VEICULO;ES;VITORIA;ENSEADA DO SUA;AV JOSE MIRANDA MACHADO;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 13 128GB;Sem Informacao (Cor)
53335197;01/01/2024;00:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;RIO NOVO DO SUL;CENTRO;RUA CAP BLAY;REPARTICAO PUBLICA;Sem Informacao (Tipo);LG;K9 TV;Sem Informacao (Cor)
53335198;01/01/2024;07:00:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;MARATAIZES;CENTRO;AVENIDA GOVERNADOR FRANCISCO LACERDA DE AGUIAR;VIA PUBLICA;AUTOMOVEL;FIAT;UNO MILLE SMART;BRANCO
53335673;01/01/2024;05:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM TRANSPORTE COLETIVO;ES;VITORIA;SAO PEDRO;Sem Informacao;VEICULO;Sem Informacao (Tipo);SAMSUNG;GALAXY A73 5G;Sem Informacao (Cor)
53335755;01/01/2024;01:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;BALNEARIO DA PRAIA DA COSTA;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;Sem Informacao (Modelo);Sem Informacao (Cor)
53335763;01/01/2024;02:20:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;CONCEICAO DA BARRA;CENTRO;ORLA;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A51;Sem Informacao (Cor)
53335919;01/01/2024;04:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SAO MATEUS;GURIRI;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 8 PLUS 256GB ROSE;Sem Informacao (Cor)
53336108;01/01/2024;02:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;GUARAPARI;PRAIA DO MORRO;AV BEIRA MAR;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;GALAXY A20;Sem Informacao (Cor)
53336260;01/01/2024;18:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VITORIA;CENTRO;Sem Informacao;OUTRO LOCAL;Sem Informacao (Tipo);MOTOROLA;XT2345 1 E13 64G8;Sem Informacao (Cor)
53336303;01/01/2024;00:05:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;VITORIA;JARDIM CAMBURI;PRAIA DE CAMBURI;OUTRO LOCAL;Sem Informacao (Tipo);XIAOMI;XIAOMI 12 LITE 5G;Sem Informacao (Cor)
53336698;01/01/2024;03:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;PIUMA;PRAIA DE ACAIACA;AV BEIRA MAR;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;SAMSUNG J5 PRIME;Sem Informacao (Cor)
53336954;01/01/2024;00:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;SAO MATEUS;CENTRO;AV JOSE TOZZI;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;GALAXY M13 AZUL;Sem Informacao (Cor)
53336986;01/01/2024;13:40:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;ARACRUZ;OUTRO LOCAL;Sem Informacao;RODOVIA ESTADUAL;AUTOMOVEL;VOLKSWAGEN;GOL 1.6 POWER;PRETO
53337188;01/01/2024;06:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;MARATAIZES;CENTRO;Sem Informacao;OUTRO LOCAL;Sem Informacao (Tipo);APPLE;IPHONE 1264 RED;Sem Informacao (Cor)
53337192;01/01/2024;23:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;CARIACICA;VILA PALESTINA;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 11;Sem Informacao (Cor)
53337192;01/01/2024;23:00:00;VEICULO;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;CARIACICA;VILA PALESTINA;Sem Informacao;VIA PUBLICA;MOTOCICLETA;YAMAHA;YBR150 FACTOR ED;VERMELHO
53337470;01/01/2024;03:00:00;BICICLETA;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: BICICLETA;ES;SERRA;CIDADE CONTINENTAL;RUA QUECHUA;RESIDENCIA;Sem Informacao (Tipo);ALUMINUM;Bic aluminum raider 29/17;Sem Informacao (Cor)
53337595;01/01/2024;00:15:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM RESIDENCIA/CONDOMINIO;ES;SAO MATEUS;GURIRI;RUA NOVE;RESIDENCIA;Sem Informacao (Tipo);APPLE;IPHONE 7 PLUS 256G;Sem Informacao (Cor)
53337595;01/01/2024;00:15:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM RESIDENCIA/CONDOMINIO;ES;SAO MATEUS;GURIRI;RUA NOVE;RESIDENCIA;Sem Informacao (Tipo);MOTOROLA;G53;Sem Informacao (Cor)
53337595;01/01/2024;00:15:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM RESIDENCIA/CONDOMINIO;ES;SAO MATEUS;GURIRI;RUA NOVE;RESIDENCIA;Sem Informacao (Tipo);SAMSUNG;A10;Sem Informacao (Cor)
53337653;01/01/2024;06:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SERRA;ESTANCIA MONAZITICA;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);LG;K61;Sem Informacao (Cor)
53337702;01/01/2024;01:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;IBATIBA;CRICIUMA;Sem Informacao;RESIDENCIA;Sem Informacao (Tipo);MOTOROLA;MOTO G30;Sem Informacao (Cor)
53337877;01/01/2024;00:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM ESTABELECIMENTO COMERCIAL;ES;CARIACICA;ITACIBA;RUA ITABAPOANA;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTO G 42;Sem Informacao (Cor)
53338537;01/01/2024;04:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;VILA VELHA;DOM JOAO BATISTA;RUA MANDACARU;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTOG 31;Sem Informacao (Cor)
53338618;01/01/2024;02:40:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;SAO MATEUS;GURIRI;AV ATLANTICA;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI10C;Sem Informacao (Cor)
53338697;01/01/2024;05:23:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;CARIACICA;CAMPO VERDE;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 8 PLUS;Sem Informacao (Cor)
53339347;01/01/2024;04:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;AV CHAMPAGNAT;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;4 POWER;Sem Informacao (Cor)
53339578;01/01/2024;01:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA;ES;VITORIA;JARDIM CAMBURI;AV DANTE MICHELINE;OUTRO LOCAL;Sem Informacao (Tipo);MOTOROLA;MOTO G20;Sem Informacao (Cor)
53340384;01/01/2024;02:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VITORIA;JARDIM CAMBURI;AV DANTE MICHELINI;VIA PUBLICA;Sem Informacao (Tipo);APPLE;13;Sem Informacao (Cor)
53340965;01/01/2024;02:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);APPLE;11 PRO MAX;Sem Informacao (Cor)
53344650;01/01/2024;00:48:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SAO MATEUS;GURIRI;AVENIDA OCEANO ATLANTICO - LADO SUL;OUTRO LOCAL;Sem Informacao (Tipo);APPLE;IPHONE 11;Sem Informacao (Cor)
53351576;01/01/2024;00:20:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;SAO MATEUS;GURIRI;CENTRO;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;M1906G7G;Sem Informacao (Cor)
53352798;01/01/2024;Indeterminada;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;CARIACICA;SANTO ANDRE;ESCADARIA DE SANTO ANDRE;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTO G42 CONTRASTE INFINITO;Sem Informacao (Cor)
53352831;01/01/2024;15:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM OUTRAS INSTITUICOES;ES;VITORIA;CENTRO;Rua Pedro Palacios;HOSPITAL;Sem Informacao (Tipo);XIAOMI;XIAOMI POCOPHONE POCO X3 DUAL SIM 128 GB OUT OF THE BLUE 6 GB RAM;Sem Informacao (Cor)
53353725;01/01/2024;01:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VITORIA;OUTRO LOCAL;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A14;Sem Informacao (Cor)
53357119;01/01/2024;01:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;LINHARES;PONTAL DO IPIRANGA;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI NOTE 12;Sem Informacao (Cor)
53357974;01/01/2024;Indeterminada;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM ESTABELECIMENTO COMERCIAL;ES;PIUMA;JARDIM MAILY;AVENIDA BEIRA MAR;COMERCIO;Sem Informacao (Tipo);SAMSUNG;A12;Sem Informacao (Cor)
53358136;01/01/2024;Indeterminada;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;ARACRUZ;BARRA DO SAHY;AV PRINCIPAL;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;POCO X PRO 4 AZUL;Sem Informacao (Cor)
53358223;01/01/2024;02:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;VITORIA;JARDIM CAMBURI;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;42;Sem Informacao (Cor)
53362047;01/01/2024;01:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;AVENIDA ANTONIO GIL VELOSO;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTO G 6;Sem Informacao (Cor)
53382137;01/01/2024;05:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;GUARAPARI;NOVA GUARAPARI;PERACANGA;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 12;Sem Informacao (Cor)
53390606;01/01/2024;23:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;MUCURICI;OUTRO LOCAL;VISTA DO BALNEARIO;OUTRO LOCAL;Sem Informacao (Tipo);XIAOMI;11 LITE 5G;Sem Informacao (Cor)
53428522;01/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;PIUMA;MONTE AGHA;AV. PREFEITO JOSE VARGAS SCHERRER;RESIDENCIA;MOTOCICLETA;SUZUKI;KATANA GSX;PRETO
53439749;01/01/2024;00:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;AV ANTONIO GIL VELOSO;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTO G 40;Sem Informacao (Cor)
53456459;01/01/2024;01:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;AFONSO CLAUDIO;GRAMA;RUA PROJETADA;VEICULO;Sem Informacao (Tipo);SAMSUNG;GALAXY A14 5G;Sem Informacao (Cor)
53460457;01/01/2024;01:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;GUARAPARI;PRAIA DO MORRO;AVENIDA BEIRA MAR;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 12;Sem Informacao (Cor)
